session_id,label,temporal_inconsistency_score
2c31ae6b-e52a-4fcf-831f-d80d45453942,human,0.0
2c32977c-cd2a-4f36-adea-4c1acee448ea,bot_t2,0.0
2c516cda-51fb-46a0-97e6-6fa76c096aad,human,0.0
2c85e3ad-1f02-41f2-a475-cd39bd238a0c,bot_t2,0.0
2d0a477e-44c9-4f31-b9d4-20b37df3d4e0,human,0.0
2d1f9737-76be-4469-82bd-984869025605,bot_t1,0.0
2d82aaea-1099-4e51-887a-c4bf54eff39b,bot_t3,0.0
2dcb6846-9575-4280-b307-750568d2cfee,bot_t2,0.0
2dd7b493-58fc-4a33-a141-7e10df76bbd8,bot_t3,0.0
2dff3dd2-17f6-4f37-b67f-ecf4e45eeb61,bot_t1,0.0
2e0e5245-80c8-43c9-888e-c9f1677b9b2a,bot_t2,0.0
2e1b7833-c275-448a-a8fa-e73b8bfae07c,bot_t2,0.0
2e2da192-93e4-43f6-bc8a-c50cc9f313f0,human,0.0
2e4c6e84-93df-4826-bc0b-54e6691c02bb,human,0.0
2e98740e-7e1a-4f85-88f6-5880dc8b547a,bot_t1,0.0
2ea0cfda-459e-4957-8690-e34726f59732,bot_t2,0.0
2eb71b10-ffef-40af-b8cb-f8a9f089f3f1,bot_t2,0.0
2ef4454f-861d-4e62-8ac9-2757719e43fe,bot_t2,0.0
2f15d870-ec70-432b-b94f-35edfc8f94f2,bot_t3,0.0
2f3328ec-a724-49b6-9d2a-43fcabaf25e1,bot_t1,0.0
2f46db17-9929-4563-b821-a5e86d9e9cc1,human,0.0
2f4ac124-d7a7-4418-a10d-aef52a863fd3,bot_t2,0.0
2f7ce152-020b-4e25-9603-a716d4814e71,human,0.0
2fadc6a3-a533-4cea-8e2e-f407536189a2,human,0.0
2fcb60ba-af71-4ea0-a556-f191fdf1b313,human,0.0
2fdbe5a3-3df6-4b8b-945a-5a9a6c32e614,bot_t1,0.0
2ff10982-1351-43b0-b239-728e9827fce9,human,0.0
30050eca-6938-4c69-bd67-5484e5436148,human,0.0
300a92cc-d94b-47f0-80cd-07f9a1e48aba,bot_t1,0.0
30205897-bee8-4d5f-a5de-7f1c6bfe5f9b,bot_t3,0.0
30343812-ed60-4d64-bbc7-629e052a8546,bot_t2,0.0
30c581a9-36d1-4e34-8324-c760031a3449,bot_t2,0.0
30d1494a-8338-4ad1-970f-9be6a27e8684,human,0.0
30e3c46d-fd3a-4d53-8a25-cacb02a0bd20,bot_t2,0.0
30e82c45-06ff-41b5-8a60-df142f5026c8,bot_t1,0.0
30eb6899-705e-4c04-8c16-4544a3eac503,bot_t3,0.0
31044fc3-2a16-41b6-8b16-adf686202e6f,bot_t2,0.0
312588bd-a693-4eb8-acdc-86dc3f3c2234,bot_t1,0.0
312624d7-c6c7-4eb7-81db-0e6e3abfd752,bot_t3,0.0
315a6bf5-f38d-42db-86cd-2ccf118b3faf,bot_t2,0.0
317a2044-61a7-431a-a90c-9f73a113f7f1,bot_t3,0.0
317b2af7-54a2-4fe9-9acc-d474ad97952d,bot_t2,0.0
319b6f18-381a-4275-bb2f-8b4847eba7b9,bot_t1,0.0
319ec9a9-c603-4180-bc15-0baa01fe9164,bot_t3,0.0
31e2cf04-ed76-403c-8a1e-c4254af8c58d,bot_t2,0.0
31ff8210-7303-4827-b6b3-ec869bdb9c05,human,0.0
32341750-ac27-4d03-aea3-c59ac39a56b3,bot_t2,0.0
3270d86d-d9a4-454b-936b-5b7619d489fc,bot_t1,0.0
32b97a2b-ef61-49b3-b5d2-4bd239c34646,human,0.0
32c1c39c-69bd-45c3-83a9-faf26226f4ee,human,0.0
32e69702-1d3b-4263-b2b0-2a18b5c390b5,bot_t2,0.0
33093286-a18e-4537-a9bd-010ae48eb002,bot_t3,0.0
3324a831-2e36-47cf-95af-28997a3bcc12,bot_t3,0.0
33357904-409f-41a3-8471-72d74daca88e,bot_t2,0.0
33604582-d21c-4fd5-8c93-c5c5fd54fab1,bot_t3,0.0
33721314-8bab-4c7f-a46b-e44c58e42cc1,human,0.0
337ec29f-5139-4930-98b8-4ef4bf8f282f,bot_t1,0.0
33912ea7-be48-4fe4-a6cc-056c3650fd03,human,0.0
33967e6b-47c5-4de1-885b-cba8df7d74ab,bot_t3,0.0
33affc76-03e6-4bc7-a44d-f52a7f862d24,bot_t3,0.0
33b8ba6c-da6f-4a92-8b06-fc2e71860498,bot_t1,0.0
33cf1925-9b77-42d5-9f3f-2167fe8c4e17,bot_t1,0.0
34cbbf5e-ae08-44f4-a4a1-6215c65eb803,bot_t2,0.0
34dbc865-34c7-4746-8430-74ef54c56909,bot_t2,0.0
34e08172-3c7f-4021-b92a-95eb62dd744f,bot_t1,0.0
34e5a809-0eb9-4c31-8ea6-09c10a507cc0,bot_t1,0.0
35122911-d28e-496e-8efe-b9fb40862969,bot_t2,0.0
356eea00-9a1d-4940-9647-86887fa0edea,bot_t1,0.0
3582a7c1-bec5-4718-ab6a-c22cda478de5,bot_t3,0.0
35e7c7b1-ae3f-4590-8e68-6501d340b11a,bot_t2,0.0
3603e16d-f9e4-4073-b07a-a90b7237cacc,bot_t1,0.0
